run,evaluations,best_so_far
2,87557,94.97000000000004
2,87571,94.97000000000004
2,87585,94.97000000000004
2,87599,94.97000000000004
2,87613,94.97000000000004
2,87643,94.97000000000004
2,87657,94.97000000000004
2,87671,94.97000000000004
2,87685,95.02
2,87711,95.02
2,87725,95.02
2,87727,95.02
2,87741,95.02
2,87743,95.02
2,87759,101.25
2,87775,101.25
2,87777,101.25
2,87779,101.25
2,87793,101.25
2,87819,101.25
2,87821,101.25
2,87837,101.25
2,87863,101.25
2,87865,101.25
2,87891,101.25
2,87907,101.25
2,87909,101.25
2,87941,101.25
2,87955,101.25
2,87957,101.25
2,87983,101.25
2,87999,101.25
2,88001,101.25
2,88019,101.25
2,88021,101.25
2,88037,101.25
2,88053,101.25
2,88055,101.25
2,88069,101.25
2,88083,101.25
2,88099,101.25
2,88113,101.25
2,88133,101.25
2,88135,101.25
2,88163,101.25
2,88177,101.25
2,88203,101.25
2,88229,101.25
2,88231,101.25
2,88267,101.25
2,88283,101.25
2,88313,101.25
2,88327,101.25
2,88353,101.25
2,88371,101.25
2,88389,115.47000000000001
2,88415,115.47000000000001
2,88417,115.47000000000001
2,88431,115.47000000000001
2,88461,115.47000000000001
2,88463,115.47000000000001
2,88477,115.47000000000001
2,88507,115.47000000000001
2,88509,115.47000000000001
2,88539,115.47000000000001
2,88555,115.47000000000001
2,88581,115.47000000000001
2,88595,115.47000000000001
2,88597,115.47000000000001
2,88611,115.47000000000001
2,88625,115.47000000000001
2,88653,115.47000000000001
2,88667,115.47000000000001
2,88683,115.47000000000001
2,88685,115.47000000000001
2,88699,115.47000000000001
2,88713,115.47000000000001
2,88727,115.47000000000001
2,88755,115.47000000000001
2,88757,115.47000000000001
2,88773,115.47000000000001
2,88799,115.47000000000001
2,88815,115.47000000000001
2,88829,115.47000000000001
2,88843,115.47000000000001
2,88845,115.47000000000001
2,88871,115.47000000000001
2,88903,115.47000000000001
2,88929,115.47000000000001
2,88943,115.47000000000001
2,88979,115.47000000000001
2,88997,115.47000000000001
2,89011,115.47000000000001
2,89025,115.47000000000001
2,89041,115.47000000000001
2,89069,115.47000000000001
2,89087,115.47000000000001
2,89113,115.47000000000001
2,89127,115.47000000000001
2,89141,115.47000000000001
2,89155,115.47000000000001
2,89157,115.47000000000001
2,89171,115.47000000000001
2,89197,115.47000000000001
2,89225,115.47000000000001
2,89241,115.47000000000001
2,89255,115.47000000000001
2,89271,115.47000000000001
2,89285,115.47000000000001
2,89299,115.47000000000001
2,89329,115.47000000000001
2,89355,115.47000000000001
2,89383,115.47000000000001
2,89409,115.47000000000001
2,89411,115.47000000000001
2,89439,115.47000000000001
2,89457,115.47000000000001
2,89471,115.47000000000001
2,89473,115.47000000000001
2,89501,115.47000000000001
2,89527,115.47000000000001
2,89543,115.47000000000001
2,89571,115.47000000000001
2,89597,115.47000000000001
2,89611,115.47000000000001
2,89627,115.47000000000001
2,89641,115.47000000000001
2,89655,115.47000000000001
2,89657,115.47000000000001
2,89685,115.47000000000001
2,89699,115.47000000000001
2,89727,115.47000000000001
2,89741,115.47000000000001
2,89755,115.47000000000001
2,89769,120.23999999999998
2,89783,120.23999999999998
2,89809,120.23999999999998
2,89839,120.23999999999998
2,89865,120.23999999999998
2,89891,120.23999999999998
2,89925,120.23999999999998
2,89945,120.23999999999998
2,89959,120.23999999999998
2,89977,120.23999999999998
2,90005,126.95000000000002
2,90023,126.95000000000002
2,90051,126.95000000000002
2,90077,126.95000000000002
2,90107,126.95000000000002
2,90109,126.95000000000002
2,90137,126.95000000000002
2,90165,126.95000000000002
2,90179,126.95000000000002
2,90181,126.95000000000002
2,90211,126.95000000000002
2,90213,126.95000000000002
2,90241,126.95000000000002
2,90255,126.95000000000002
2,90257,126.95000000000002
2,90271,126.95000000000002
2,90297,126.95000000000002
2,90311,126.95000000000002
2,90325,126.95000000000002
2,90339,126.95000000000002
2,90369,126.95000000000002
2,90383,126.95000000000002
2,90399,126.95000000000002
2,90413,126.95000000000002
2,90445,126.95000000000002
2,90459,126.95000000000002
2,90461,126.95000000000002
2,90487,126.95000000000002
2,90513,126.95000000000002
2,90539,126.95000000000002
2,90567,126.95000000000002
2,90569,126.95000000000002
2,90595,126.95000000000002
2,90609,126.95000000000002
2,90611,126.95000000000002
2,90625,126.95000000000002
2,90627,126.95000000000002
2,90643,126.95000000000002
2,90645,126.95000000000002
2,90661,126.95000000000002
2,90675,126.95000000000002
2,90689,126.95000000000002
2,90717,126.95000000000002
2,90735,126.95000000000002
2,90763,126.95000000000002
2,90799,126.95000000000002
2,90813,126.95000000000002
2,90829,126.95000000000002
2,90847,126.95000000000002
2,90861,126.95000000000002
2,90889,126.95000000000002
2,90903,126.95000000000002
2,90905,126.95000000000002
2,90931,126.95000000000002
3,80756,27.77999999999999
3,80772,27.77999999999999
3,80786,27.77999999999999
3,80814,30.59000000000001
3,84921,55.120000000000005
3,84937,55.120000000000005
3,84951,55.120000000000005
3,84979,55.120000000000005
3,85007,55.120000000000005
3,85035,55.120000000000005
3,85067,55.120000000000005
3,85069,55.120000000000005
3,85083,55.120000000000005
3,85097,55.120000000000005
3,85123,55.120000000000005
3,85137,55.120000000000005
3,85165,55.120000000000005
3,85167,57.379999999999995
3,85181,57.379999999999995
3,85199,57.379999999999995
3,85227,57.379999999999995
3,85255,57.379999999999995
3,85283,57.379999999999995
3,85299,57.379999999999995
3,85325,57.379999999999995
3,85327,57.379999999999995
3,85341,57.379999999999995
3,85355,57.379999999999995
3,85373,57.379999999999995
3,85399,57.379999999999995
3,85401,57.379999999999995
3,85427,57.379999999999995
3,85429,57.379999999999995
3,85443,57.379999999999995
3,85469,57.379999999999995
3,85497,57.379999999999995
3,85525,57.379999999999995
3,85539,57.379999999999995
3,85565,58.38000000000004
3,85579,58.38000000000004
3,85607,58.38000000000004
3,85623,58.38000000000004
3,85651,58.38000000000004
3,85677,58.38000000000004
3,85705,58.38000000000004
3,85721,58.38000000000004
3,85737,58.38000000000004
3,85769,58.38000000000004
3,85783,58.38000000000004
3,85809,58.38000000000004
3,85835,58.38000000000004
3,85849,58.38000000000004
3,85865,67.92999999999999
3,85879,67.92999999999999
3,85895,67.92999999999999
3,85909,67.92999999999999
3,85939,67.92999999999999
3,85957,67.92999999999999
3,85985,67.92999999999999
3,86001,67.92999999999999
3,86019,67.92999999999999
3,86037,67.92999999999999
3,86053,67.92999999999999
3,86069,67.92999999999999
3,86099,67.92999999999999
3,86113,67.92999999999999
3,86129,67.92999999999999
3,86131,67.92999999999999
3,86159,67.92999999999999
3,86191,67.92999999999999
3,86193,67.92999999999999
3,86207,67.92999999999999
3,86209,67.92999999999999
3,86223,67.92999999999999
3,86253,67.92999999999999
3,86269,67.92999999999999
3,86283,67.92999999999999
3,86297,67.92999999999999
3,86311,67.92999999999999
3,86337,67.92999999999999
3,86339,67.92999999999999
3,86353,67.92999999999999
3,86367,67.92999999999999
